station name,Station Name Trimmed,Clean Stop Name,Line ID,Line Name,Station ID,stop_lat,stop_lon,rail_distance_from_union_miles,Subway,University_College,University_Nm,GO Station_Line,Park and Ride_Carpool,Terminal Station,Shopping Centre,Parent Station,City
 1| 3602|Zone 89,Zone 89,Zone 89,8,GO Bus,80642,43.78309536,-79.23208926,NA,0,0,,-1,0,0,0,Zone 89,Scarborough
 1| 3603|Zone 60,Zone 60,Zone 60,8,GO Bus,80643,43.83995188,-79.36358528,NA,0,0,,-1,0,0,0,Zone 60,Richmond Hill
 1| 3604|Zone 60,Zone 60,Zone 60,8,GO Bus,80644,43.83995188,-79.36358528,NA,0,0,,-1,0,0,0,Zone 60,Richmond Hill
 1| 3605|Zone 19,Zone 19,Zone 19,8,GO Bus,80645,,,NA,0,0,,-1,0,0,0,Zone 19,North York
 1| 3606|Zone 31,Zone 31,Zone 31,8,GO Bus,80646,43.65470239,-79.56815685,NA,0,0,,-1,0,0,0,Zone 31,Mississauga
 1| 3608|Zone 33,Zone 33,Zone 33,8,GO Bus,80647,,,NA,0,0,,-1,0,0,0,Zone 33,Brampton
 1| 3610|Zone 27,Zone 27,Zone 27,8,GO Bus,80648,43.45491206,-80.46890487,NA,0,0,,-1,0,0,0,Zone 27,Kitchener
 1| 3613|Zone 26,Zone 26,Zone 26,8,GO Bus,80649,43.45006384,-80.13380237,NA,0,0,,-1,0,0,0,Zone 26,Cambridge
 1| 3614|Zone 39,Zone 39,Zone 39,8,GO Bus,80650,43.57957037,-80.18632094,NA,0,0,,-1,0,0,0,Zone 39,Guelph
 1| 3619|Zone 29,Zone 29,Zone 29,8,GO Bus,80651,44.15933458,-78.48695542,NA,0,0,,-1,0,0,0,Zone 29,Millbrook
 1| 3621|Zone 28,Zone 28,Zone 28,8,GO Bus,80652,44.05415622,-78.62262829,NA,0,0,,-1,0,0,0,Zone 28,Pontypool
 1| 3630|Zone 84,Zone 84,Zone 84,8,GO Bus,80653,43.09597184,-79.11068415,NA,0,0,,-1,0,0,0,Zone 84,Niagara Falls
 1| 3631|Zone 84,Zone 84,Zone 84,8,GO Bus,80654,43.09597184,-79.11068415,NA,0,0,,-1,0,0,0,Zone 84,Niagara Falls
 1| 3632|Zone 83,Zone 83,Zone 83,8,GO Bus,80655,43.09577384,-79.11069024,NA,0,0,,-1,0,0,0,Zone 83,St. Catharines
 1| 3633|Zone 81,Zone 81,Zone 81,8,GO Bus,80656,43.17762942,-79.25470574,NA,0,0,,-1,0,0,0,Zone 81,Grimsby
 1| 3640|Zone 51,Zone 51,Zone 51,8,GO Bus,80657,,,NA,0,0,,-1,0,0,0,Zone 51,Whitby
 1| 3651|Zone 94,Zone 94,Zone 94,8,GO Bus,80658,,,NA,0,0,,-1,0,0,0,Zone 94,Oshawa
 1| 3652|Zone 95,Zone 95,Zone 95,8,GO Bus,80659,,,NA,0,0,,-1,0,0,0,Zone 95,Courtice
