Date,line_id,line_name,station_name,daily_total
2018-03-22,3,Kitchener,Acton GO,114
2018-03-23,3,Kitchener,Acton GO,98
2018-03-24,3,Kitchener,Acton GO,0
2018-03-26,3,Kitchener,Acton GO,114
2018-03-27,3,Kitchener,Acton GO,110
2018-03-28,3,Kitchener,Acton GO,111
2018-03-29,3,Kitchener,Acton GO,90
2018-03-30,3,Kitchener,Acton GO,0
2018-03-31,3,Kitchener,Acton GO,0
2018-04-01,3,Kitchener,Acton GO,2
2018-04-02,3,Kitchener,Acton GO,87
2018-04-03,3,Kitchener,Acton GO,111
2018-04-04,3,Kitchener,Acton GO,112
2018-04-05,3,Kitchener,Acton GO,98
2018-04-06,3,Kitchener,Acton GO,85
2018-04-07,3,Kitchener,Acton GO,0
2018-04-08,3,Kitchener,Acton GO,0
2018-04-09,3,Kitchener,Acton GO,115
2018-04-10,3,Kitchener,Acton GO,123
2018-04-11,3,Kitchener,Acton GO,106
2018-04-12,3,Kitchener,Acton GO,93
2018-04-13,3,Kitchener,Acton GO,87
2018-04-14,3,Kitchener,Acton GO,0
2018-04-15,3,Kitchener,Acton GO,0
2018-04-16,3,Kitchener,Acton GO,83
2018-04-17,3,Kitchener,Acton GO,117
2018-04-18,3,Kitchener,Acton GO,106
2018-04-19,3,Kitchener,Acton GO,102
2018-04-20,3,Kitchener,Acton GO,95
2018-04-21,3,Kitchener,Acton GO,2
2018-04-22,3,Kitchener,Acton GO,0
2018-04-23,3,Kitchener,Acton GO,118
2018-04-24,3,Kitchener,Acton GO,110
2018-04-25,3,Kitchener,Acton GO,99
2018-04-26,3,Kitchener,Acton GO,95
2018-04-27,3,Kitchener,Acton GO,92
2018-04-28,3,Kitchener,Acton GO,2
2018-04-29,3,Kitchener,Acton GO,0
2018-04-30,3,Kitchener,Acton GO,115
2018-05-01,3,Kitchener,Acton GO,129
2018-05-02,3,Kitchener,Acton GO,122
2018-05-03,3,Kitchener,Acton GO,113
2018-05-04,3,Kitchener,Acton GO,85
2018-05-05,3,Kitchener,Acton GO,0
2018-05-06,3,Kitchener,Acton GO,0
2018-05-07,3,Kitchener,Acton GO,126
2018-05-08,3,Kitchener,Acton GO,111
2018-05-09,3,Kitchener,Acton GO,109
2018-05-10,3,Kitchener,Acton GO,119
2018-05-11,3,Kitchener,Acton GO,83
2018-05-14,3,Kitchener,Acton GO,124
2018-05-15,3,Kitchener,Acton GO,126
2018-05-16,3,Kitchener,Acton GO,124
2018-05-17,3,Kitchener,Acton GO,111
2018-05-18,3,Kitchener,Acton GO,79
2018-05-19,3,Kitchener,Acton GO,0
2018-05-21,3,Kitchener,Acton GO,0
2018-05-22,3,Kitchener,Acton GO,107
2018-05-23,3,Kitchener,Acton GO,122
2018-05-24,3,Kitchener,Acton GO,122
2018-05-25,3,Kitchener,Acton GO,94
2018-05-26,3,Kitchener,Acton GO,0
2018-05-27,3,Kitchener,Acton GO,0
2018-05-28,3,Kitchener,Acton GO,110
2018-05-29,3,Kitchener,Acton GO,126
2018-05-30,3,Kitchener,Acton GO,132
2018-05-31,3,Kitchener,Acton GO,105
2018-06-01,3,Kitchener,Acton GO,98
2018-06-02,3,Kitchener,Acton GO,0
2018-06-03,3,Kitchener,Acton GO,0
2018-06-04,3,Kitchener,Acton GO,108
2018-06-05,3,Kitchener,Acton GO,115
2018-06-06,3,Kitchener,Acton GO,121
2018-06-07,3,Kitchener,Acton GO,100
2018-06-08,3,Kitchener,Acton GO,92
2018-06-09,3,Kitchener,Acton GO,0
2018-06-10,3,Kitchener,Acton GO,4
2018-06-11,3,Kitchener,Acton GO,112
2018-06-12,3,Kitchener,Acton GO,123
2018-06-13,3,Kitchener,Acton GO,111
2018-06-14,3,Kitchener,Acton GO,92
2018-06-15,3,Kitchener,Acton GO,89
2018-06-16,3,Kitchener,Acton GO,0
2018-06-17,3,Kitchener,Acton GO,2
2018-06-18,3,Kitchener,Acton GO,110
2018-06-19,3,Kitchener,Acton GO,106
2018-06-20,3,Kitchener,Acton GO,147
2018-06-21,3,Kitchener,Acton GO,115
2018-06-22,3,Kitchener,Acton GO,82
2018-06-23,3,Kitchener,Acton GO,0
2018-06-24,3,Kitchener,Acton GO,2
2018-06-25,3,Kitchener,Acton GO,119
2018-06-26,3,Kitchener,Acton GO,100
2018-06-27,3,Kitchener,Acton GO,111
2018-06-28,3,Kitchener,Acton GO,111
2018-06-29,3,Kitchener,Acton GO,69
2018-06-30,3,Kitchener,Acton GO,0
2018-07-01,3,Kitchener,Acton GO,3
2018-07-02,3,Kitchener,Acton GO,0
2018-07-03,3,Kitchener,Acton GO,119
2018-07-04,3,Kitchener,Acton GO,111
2018-07-05,3,Kitchener,Acton GO,91
2018-07-06,3,Kitchener,Acton GO,82
2018-07-07,3,Kitchener,Acton GO,2
2018-07-08,3,Kitchener,Acton GO,4
2018-07-09,3,Kitchener,Acton GO,110
2018-07-10,3,Kitchener,Acton GO,115
2018-07-11,3,Kitchener,Acton GO,106
2018-07-12,3,Kitchener,Acton GO,109
2018-07-13,3,Kitchener,Acton GO,80
2018-07-14,3,Kitchener,Acton GO,2
2018-07-15,3,Kitchener,Acton GO,2
2018-07-16,3,Kitchener,Acton GO,109
2018-07-17,3,Kitchener,Acton GO,120
2018-07-18,3,Kitchener,Acton GO,112
2018-07-19,3,Kitchener,Acton GO,111
2018-07-20,3,Kitchener,Acton GO,86
2018-07-21,3,Kitchener,Acton GO,7
2018-07-22,3,Kitchener,Acton GO,2
2018-07-23,3,Kitchener,Acton GO,115
2018-07-24,3,Kitchener,Acton GO,112
2018-07-25,3,Kitchener,Acton GO,114
2018-07-26,3,Kitchener,Acton GO,115
2018-07-27,3,Kitchener,Acton GO,87
2018-07-28,3,Kitchener,Acton GO,0
2018-07-29,3,Kitchener,Acton GO,2
2018-07-30,3,Kitchener,Acton GO,109
2018-07-31,3,Kitchener,Acton GO,103
2018-08-01,3,Kitchener,Acton GO,107
2018-08-02,3,Kitchener,Acton GO,98
2018-08-03,3,Kitchener,Acton GO,63
2018-08-04,3,Kitchener,Acton GO,0
2018-08-05,3,Kitchener,Acton GO,0
2018-08-06,3,Kitchener,Acton GO,0
2018-08-07,3,Kitchener,Acton GO,93
2018-08-08,3,Kitchener,Acton GO,100
2018-08-09,3,Kitchener,Acton GO,86
2018-08-10,3,Kitchener,Acton GO,79
2018-08-11,3,Kitchener,Acton GO,2
2018-08-13,3,Kitchener,Acton GO,106
2018-08-14,3,Kitchener,Acton GO,126
2018-08-15,3,Kitchener,Acton GO,104
2018-08-16,3,Kitchener,Acton GO,109
2018-08-17,3,Kitchener,Acton GO,98
2018-08-18,3,Kitchener,Acton GO,2
2018-08-19,3,Kitchener,Acton GO,3
2018-08-20,3,Kitchener,Acton GO,105
2018-08-21,3,Kitchener,Acton GO,106
2018-08-22,3,Kitchener,Acton GO,102
2018-08-23,3,Kitchener,Acton GO,99
2018-08-24,3,Kitchener,Acton GO,80
2018-08-25,3,Kitchener,Acton GO,2
2018-08-26,3,Kitchener,Acton GO,0
2018-08-27,3,Kitchener,Acton GO,92
2018-08-28,3,Kitchener,Acton GO,122
2018-08-29,3,Kitchener,Acton GO,115
2018-08-30,3,Kitchener,Acton GO,97
2018-08-31,3,Kitchener,Acton GO,68
2018-09-01,3,Kitchener,Acton GO,0
2018-09-02,3,Kitchener,Acton GO,0
2018-09-03,3,Kitchener,Acton GO,0
2018-09-04,3,Kitchener,Acton GO,119
2018-09-05,3,Kitchener,Acton GO,112
2018-09-06,3,Kitchener,Acton GO,112
2018-09-07,3,Kitchener,Acton GO,91
2018-09-09,3,Kitchener,Acton GO,0
2018-09-10,3,Kitchener,Acton GO,111
2018-09-11,3,Kitchener,Acton GO,127
2018-09-12,3,Kitchener,Acton GO,110
2018-09-13,3,Kitchener,Acton GO,113
2018-09-14,3,Kitchener,Acton GO,99
2018-09-15,3,Kitchener,Acton GO,5
2018-09-17,3,Kitchener,Acton GO,113
2018-09-18,3,Kitchener,Acton GO,103
2018-09-19,3,Kitchener,Acton GO,111
2018-09-20,3,Kitchener,Acton GO,121
2018-09-21,3,Kitchener,Acton GO,104
2018-09-22,3,Kitchener,Acton GO,2
2018-09-24,3,Kitchener,Acton GO,119
2018-09-25,3,Kitchener,Acton GO,109
2018-09-26,3,Kitchener,Acton GO,120
2018-09-27,3,Kitchener,Acton GO,106
2018-09-28,3,Kitchener,Acton GO,93
2018-09-29,3,Kitchener,Acton GO,7
2018-09-30,3,Kitchener,Acton GO,0
2018-10-01,3,Kitchener,Acton GO,113
2018-10-02,3,Kitchener,Acton GO,121
2018-10-03,3,Kitchener,Acton GO,130
2018-10-04,3,Kitchener,Acton GO,101
2018-10-05,3,Kitchener,Acton GO,86
2018-10-06,3,Kitchener,Acton GO,0
2018-10-07,3,Kitchener,Acton GO,0
2018-10-09,3,Kitchener,Acton GO,109
2018-10-10,3,Kitchener,Acton GO,111
2018-10-11,3,Kitchener,Acton GO,107
2018-10-12,3,Kitchener,Acton GO,99
2018-10-15,3,Kitchener,Acton GO,107
2018-10-16,3,Kitchener,Acton GO,127
2018-10-17,3,Kitchener,Acton GO,129
2018-10-18,3,Kitchener,Acton GO,116
2018-10-19,3,Kitchener,Acton GO,96
2018-10-22,3,Kitchener,Acton GO,108
2018-10-23,3,Kitchener,Acton GO,107
2018-10-24,3,Kitchener,Acton GO,111
2018-10-25,3,Kitchener,Acton GO,105
2018-10-26,3,Kitchener,Acton GO,92
2018-10-27,3,Kitchener,Acton GO,0
2018-10-29,3,Kitchener,Acton GO,117
2018-10-30,3,Kitchener,Acton GO,129
2018-10-31,3,Kitchener,Acton GO,108
2018-11-01,3,Kitchener,Acton GO,110
2018-11-02,3,Kitchener,Acton GO,84
2018-11-03,3,Kitchener,Acton GO,0
2018-11-05,3,Kitchener,Acton GO,117
2018-11-06,3,Kitchener,Acton GO,136
2018-11-07,3,Kitchener,Acton GO,113
2018-11-08,3,Kitchener,Acton GO,119
2018-11-09,3,Kitchener,Acton GO,92
2018-11-10,3,Kitchener,Acton GO,2
2018-11-12,3,Kitchener,Acton GO,91
2018-11-13,3,Kitchener,Acton GO,122
2018-11-14,3,Kitchener,Acton GO,143
2018-11-15,3,Kitchener,Acton GO,123
2018-11-16,3,Kitchener,Acton GO,89
2018-11-19,3,Kitchener,Acton GO,123
2018-11-20,3,Kitchener,Acton GO,130
2018-11-21,3,Kitchener,Acton GO,127
2018-11-22,3,Kitchener,Acton GO,97
2018-11-23,3,Kitchener,Acton GO,102
2018-11-24,3,Kitchener,Acton GO,0
2018-11-25,3,Kitchener,Acton GO,0
2018-11-26,3,Kitchener,Acton GO,126
2018-11-27,3,Kitchener,Acton GO,123
2018-11-28,3,Kitchener,Acton GO,120
2018-11-29,3,Kitchener,Acton GO,121
2018-11-30,3,Kitchener,Acton GO,105
2018-12-01,3,Kitchener,Acton GO,0
2018-12-02,3,Kitchener,Acton GO,2
2018-12-03,3,Kitchener,Acton GO,119
2018-12-04,3,Kitchener,Acton GO,125
