Date,daily_total
2019-02-07,228085
2019-02-08,208442
2019-02-09,27599
2019-02-10,20351
2019-02-11,234793
2019-02-12,140088
2019-02-13,213856
2019-02-14,237594
2019-02-15,206780
2019-02-16,40381
2019-02-17,26408
2019-02-18,27899
2019-02-19,230888
2019-02-20,229364
2019-02-21,229314
2019-02-22,211468
2019-02-23,41096
2019-02-24,26206
2019-02-25,220524
2019-02-26,234133
2019-02-27,213861
2019-02-28,226662
2019-03-01,215880
2019-03-02,36775
2019-03-03,30656
2019-03-04,225577
2019-03-05,235515
2019-03-06,230864
2019-03-07,234043
2019-03-08,216804
2019-03-09,37626
2019-03-10,24641
2019-03-11,218788
2019-03-12,219510
2019-03-13,222044
2019-03-14,219799
2019-03-15,200463
2019-03-16,44069
2019-03-17,33131
2019-03-18,229099
2019-03-19,230796
2019-03-20,235388
2019-03-21,227479
2019-03-22,211404
2019-03-23,38307
2019-03-24,28037
2019-03-25,236806
2019-03-26,238793
2019-03-27,234543
2019-03-28,246188
2019-03-29,224795
2019-03-30,43478
2019-03-31,27282
2019-04-01,236005
2019-04-02,243109
2019-04-03,238124
2019-04-04,235268
2019-04-05,209657
2019-04-06,44903
2019-04-07,26613
2019-04-08,227482
2019-04-09,231583
2019-04-10,229514
2019-04-11,229483
2019-04-12,208749
2019-04-13,45848
2019-04-14,24423
2019-04-15,230561
2019-04-16,234269
2019-04-17,237721
2019-04-18,216953
2019-04-19,30535
2019-04-20,28411
2019-04-21,33603
2019-04-22,170024
2019-04-23,237182
2019-04-24,232352
2019-04-25,222400
2019-04-26,207174
2019-04-27,49514
2019-04-28,31408
2019-04-29,221895
2019-04-30,223399
2019-05-01,218578
2019-05-02,220864
2019-05-03,200336
2019-05-04,35551
2019-05-05,26001
2019-05-06,226077
2019-05-07,235760
2019-05-08,230540
2019-05-09,226923
2019-05-10,209847
2019-05-11,50906
2019-05-12,38416
2019-05-13,222753
2019-05-14,230717
2019-05-15,235770
2019-05-16,224713
2019-05-17,186390
2019-05-18,36524
2019-05-19,31715
2019-05-20,34146
2019-05-21,236242
2019-05-22,233679
2019-05-23,234293
2019-05-24,213127
