Date,Year,Month,year_month,Day,Weekday,Holiday,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Monthly Mean Temp (°C),Delta Temp (°C),Total Precip (mm),Monthly Mean Precip (mm),Delta Precip (mm),Snow on Grnd (cm),Barrie Ridership,Kitchener Ridership,Lakeshore East Ridership,Lakeshore West Ridership,Milton Ridership,Richmond Hill Ridership,Stouffville Ridership,Union Station Ridership,Total GO Ridership,Outlier,Overall Mean,2SD_above,2SD_below
2017-03-11,2017,3,2017-03,11,Saturday,False,-5.3,-12.5,-8.9,-0.2516129032258065,-8.648387096774194,0.2,2.335483870967742,-2.1354838709677417,0.5,877,463,6397,11193,174,0,199,10584,29887,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-03-12,2017,3,2017-03,12,Sunday,False,-3.8,-12.5,-8.2,-0.2516129032258065,-7.9483870967741925,0.0,2.335483870967742,-2.335483870967742,0.5,756,345,4031,6915,97,2,102,6721,18969,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-03-13,2017,3,2017-03,13,Monday,False,-5.5,-10.2,-7.9,-0.2516129032258065,-7.648387096774194,1.0,2.335483870967742,-1.335483870967742,0.5,9359,12784,24298,32442,14524,4996,7854,89689,195946,False,219741.3409090909,261398.51874083583,178084.163077346
2017-03-14,2017,3,2017-03,14,Tuesday,False,-7.0,-10.2,-8.6,-0.2516129032258065,-8.348387096774193,2.7,2.335483870967742,0.3645161290322583,0.0,8218,10857,21163,22756,11693,4264,7028,73303,159282,True,226142.08666666667,260553.15572545084,191731.0176078825
2017-03-15,2017,3,2017-03,15,Wednesday,False,-2.9,-9.4,-6.2,-0.2516129032258065,-5.948387096774193,0.2,2.335483870967742,-2.1354838709677417,0.0,8689,12764,23811,31862,14593,4931,7693,86804,191147,True,227296.50331125828,254365.8101718576,200227.19645065896
2017-03-16,2017,3,2017-03,16,Thursday,False,3.0,-6.8,-1.9,-0.2516129032258065,-1.6483870967741934,0.0,2.335483870967742,-2.335483870967742,0.5,9047,12814,24835,33085,14371,4985,7788,88756,195681,True,224966.61589403974,253295.69627997148,196637.535508108
2017-03-17,2017,3,2017-03,17,Friday,False,5.3,-3.8,0.8,-0.2516129032258065,1.0516129032258066,0.0,2.335483870967742,-2.335483870967742,0.5,7912,11882,24020,32584,12580,4313,7053,78920,179264,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-03-18,2017,3,2017-03,18,Saturday,False,3.1,0.1,1.6,-0.2516129032258065,1.8516129032258066,1.5,2.335483870967742,-0.8354838709677419,0.0,1187,632,8199,13669,210,0,276,15697,39870,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-03-19,2017,3,2017-03,19,Sunday,False,6.4,0.3,3.4,-0.2516129032258065,3.6516129032258062,0.0,2.335483870967742,-2.335483870967742,0.0,1018,464,5822,9291,151,0,201,10312,27259,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-03-20,2017,3,2017-03,20,Monday,False,5.3,0.8,3.1,-0.2516129032258065,3.3516129032258064,0.0,2.335483870967742,-2.335483870967742,0.0,9929,13577,24914,32966,15664,5512,8507,94492,205561,False,219741.3409090909,261398.51874083583,178084.163077346
2017-03-21,2017,3,2017-03,21,Tuesday,False,13.5,-2.7,5.4,-0.2516129032258065,5.651612903225807,0.0,2.335483870967742,-2.335483870967742,0.0,10096,13881,25443,33448,15944,5621,8719,96195,209347,False,226142.08666666667,260553.15572545084,191731.0176078825
